Descritpion_ID,Top_20_Image_IDs
0.txt,1862.jpg 1698.jpg 292.jpg 124.jpg 359.jpg 1479.jpg 1743.jpg 1131.jpg 942.jpg 36.jpg 1231.jpg 364.jpg 465.jpg 281.jpg 50.jpg 381.jpg 388.jpg 302.jpg 152.jpg 255.jpg
1.txt,833.jpg 589.jpg 1529.jpg 1341.jpg 1156.jpg 1907.jpg 1071.jpg 611.jpg 121.jpg 452.jpg 753.jpg 758.jpg 809.jpg 956.jpg 860.jpg 869.jpg 542.jpg 784.jpg 948.jpg 763.jpg
2.txt,445.jpg 1866.jpg 1840.jpg 1124.jpg 1724.jpg 649.jpg 1665.jpg 184.jpg 327.jpg 763.jpg 598.jpg 720.jpg 860.jpg 934.jpg 1059.jpg 1089.jpg 607.jpg 1027.jpg 1030.jpg 953.jpg
3.txt,1513.jpg 799.jpg 1922.jpg 1486.jpg 1865.jpg 800.jpg 1035.jpg 75.jpg 836.jpg 397.jpg 654.jpg 469.jpg 90.jpg 897.jpg 930.jpg 1135.jpg 1218.jpg 686.jpg 66.jpg 417.jpg
4.txt,36.jpg 292.jpg 1743.jpg 359.jpg 1131.jpg 1231.jpg 942.jpg 152.jpg 95.jpg 255.jpg 949.jpg 50.jpg 388.jpg 484.jpg 141.jpg 897.jpg 311.jpg 760.jpg 250.jpg 594.jpg
5.txt,330.jpg 1335.jpg 887.jpg 1322.jpg 703.jpg 814.jpg 1045.jpg 1118.jpg 354.jpg 699.jpg 334.jpg 771.jpg 554.jpg 1287.jpg 526.jpg 492.jpg 46.jpg 51.jpg 614.jpg 274.jpg
6.txt,402.jpg 1009.jpg 908.jpg 996.jpg 655.jpg 712.jpg 718.jpg 910.jpg 486.jpg 259.jpg 414.jpg 458.jpg 489.jpg 535.jpg 555.jpg 786.jpg 156.jpg 217.jpg 33.jpg 358.jpg
7.txt,1949.jpg 528.jpg 481.jpg 1239.jpg 152.jpg 689.jpg 987.jpg 1135.jpg 136.jpg 448.jpg 627.jpg 685.jpg 897.jpg 975.jpg 1155.jpg 1085.jpg 756.jpg 168.jpg 409.jpg 141.jpg
8.txt,1397.jpg 719.jpg 1622.jpg 1346.jpg 1557.jpg 1948.jpg 266.jpg 419.jpg 134.jpg 452.jpg 661.jpg 763.jpg 103.jpg 113.jpg 857.jpg 860.jpg 837.jpg 1027.jpg 784.jpg 923.jpg
9.txt,330.jpg 1335.jpg 887.jpg 1322.jpg 703.jpg 814.jpg 1045.jpg 1118.jpg 354.jpg 699.jpg 334.jpg 771.jpg 554.jpg 1287.jpg 526.jpg 492.jpg 46.jpg 51.jpg 614.jpg 274.jpg
10.txt,1023.jpg 696.jpg 607.jpg 953.jpg 245.jpg 784.jpg 837.jpg 923.jpg 103.jpg 568.jpg 720.jpg 763.jpg 823.jpg 828.jpg 860.jpg 904.jpg 803.jpg 394.jpg 452.jpg 159.jpg
11.txt,330.jpg 1335.jpg 887.jpg 1322.jpg 703.jpg 814.jpg 1045.jpg 1118.jpg 354.jpg 699.jpg 334.jpg 771.jpg 554.jpg 1287.jpg 526.jpg 492.jpg 46.jpg 51.jpg 614.jpg 274.jpg
12.txt,696.jpg 1499.jpg 426.jpg 838.jpg 175.jpg 642.jpg 724.jpg 744.jpg 141.jpg 321.jpg 476.jpg 531.jpg 676.jpg 669.jpg 727.jpg 735.jpg 406.jpg 221.jpg 244.jpg 152.jpg
13.txt,402.jpg 1009.jpg 908.jpg 996.jpg 655.jpg 712.jpg 718.jpg 910.jpg 486.jpg 259.jpg 414.jpg 458.jpg 489.jpg 535.jpg 555.jpg 786.jpg 156.jpg 217.jpg 33.jpg 358.jpg
14.txt,402.jpg 1009.jpg 908.jpg 996.jpg 655.jpg 712.jpg 718.jpg 910.jpg 486.jpg 259.jpg 414.jpg 458.jpg 489.jpg 535.jpg 555.jpg 786.jpg 156.jpg 217.jpg 33.jpg 358.jpg
15.txt,644.jpg 247.jpg 668.jpg 968.jpg 1334.jpg 784.jpg 1030.jpg 1177.jpg 463.jpg 607.jpg 763.jpg 860.jpg 6.jpg 1027.jpg 1033.jpg 1158.jpg 1059.jpg 527.jpg 452.jpg 1208.jpg
16.txt,2.jpg 1504.jpg 1318.jpg 1433.jpg 1127.jpg 1236.jpg 914.jpg 1415.jpg 620.jpg 1098.jpg 416.jpg 52.jpg 670.jpg 734.jpg 1385.jpg 880.jpg 31.jpg 77.jpg 972.jpg 37.jpg
17.txt,1471.jpg 838.jpg 1366.jpg 883.jpg 511.jpg 1183.jpg 1533.jpg 1713.jpg 539.jpg 781.jpg 953.jpg 1107.jpg 322.jpg 1955.jpg 1499.jpg 1611.jpg 696.jpg 720.jpg 159.jpg 1927.jpg
18.txt,605.jpg 650.jpg 432.jpg 1450.jpg 479.jpg 779.jpg 1125.jpg 1218.jpg 141.jpg 152.jpg 807.jpg 677.jpg 897.jpg 944.jpg 1135.jpg 1279.jpg 59.jpg 1429.jpg 320.jpg 239.jpg
19.txt,212.jpg 750.jpg 732.jpg 743.jpg 715.jpg 374.jpg 716.jpg 550.jpg 207.jpg 693.jpg 275.jpg 344.jpg 441.jpg 413.jpg 506.jpg 573.jpg 190.jpg 122.jpg 203.jpg 145.jpg
20.txt,1023.jpg 696.jpg 607.jpg 953.jpg 245.jpg 784.jpg 837.jpg 923.jpg 103.jpg 568.jpg 720.jpg 763.jpg 823.jpg 828.jpg 860.jpg 904.jpg 803.jpg 394.jpg 452.jpg 159.jpg
21.txt,1921.jpg 67.jpg 590.jpg 1598.jpg 1814.jpg 31.jpg 607.jpg 670.jpg 32.jpg 52.jpg 407.jpg 416.jpg 77.jpg 2.jpg 620.jpg 666.jpg 734.jpg 452.jpg 264.jpg 287.jpg
22.txt,67.jpg 590.jpg 1814.jpg 1030.jpg 264.jpg 1027.jpg 1340.jpg 1475.jpg 452.jpg 763.jpg 860.jpg 1059.jpg 1033.jpg 1208.jpg 1421.jpg 1437.jpg 784.jpg 607.jpg 666.jpg 1648.jpg
23.txt,1294.jpg 1805.jpg 499.jpg 707.jpg 385.jpg 578.jpg 952.jpg 1019.jpg 827.jpg 129.jpg 1241.jpg 1854.jpg 706.jpg 795.jpg 363.jpg 1899.jpg 467.jpg 759.jpg 1845.jpg 1356.jpg
24.txt,1633.jpg 684.jpg 1974.jpg 1725.jpg 1520.jpg 1074.jpg 1722.jpg 1115.jpg 1406.jpg 1217.jpg 1036.jpg 522.jpg 512.jpg 101.jpg 721.jpg 74.jpg 1400.jpg 906.jpg 28.jpg 1042.jpg
25.txt,94.jpg 1889.jpg 1215.jpg 1802.jpg 1145.jpg 1207.jpg 1492.jpg 1727.jpg 267.jpg 1132.jpg 471.jpg 26.jpg 1373.jpg 1404.jpg 1517.jpg 825.jpg 78.jpg 514.jpg 989.jpg 172.jpg
26.txt,314.jpg 644.jpg 968.jpg 668.jpg 738.jpg 139.jpg 247.jpg 482.jpg 607.jpg 463.jpg 527.jpg 452.jpg 6.jpg 80.jpg 784.jpg 121.jpg 589.jpg 763.jpg 171.jpg 611.jpg
27.txt,64.jpg 1676.jpg 1012.jpg 1364.jpg 853.jpg 373.jpg 1416.jpg 708.jpg 214.jpg 440.jpg 269.jpg 273.jpg 1082.jpg 1297.jpg 777.jpg 518.jpg 87.jpg 151.jpg 194.jpg 128.jpg
28.txt,314.jpg 644.jpg 968.jpg 668.jpg 738.jpg 139.jpg 247.jpg 482.jpg 607.jpg 463.jpg 527.jpg 452.jpg 6.jpg 80.jpg 784.jpg 121.jpg 589.jpg 763.jpg 171.jpg 611.jpg
29.txt,656.jpg 339.jpg 541.jpg 1051.jpg 255.jpg 523.jpg 604.jpg 897.jpg 152.jpg 223.jpg 370.jpg 20.jpg 557.jpg 647.jpg 1135.jpg 785.jpg 73.jpg 19.jpg 45.jpg 141.jpg
