Descritpion_ID,Top_20_Image_IDs
0.txt,1208.jpg 1033.jpg 1437.jpg 1421.jpg 1030.jpg 1340.jpg 1648.jpg 1574.jpg 763.jpg 1027.jpg 452.jpg 860.jpg 1059.jpg 607.jpg 784.jpg 1475.jpg 97.jpg 90.jpg 84.jpg 10.jpg
1.txt,1156.jpg 1341.jpg 1529.jpg 763.jpg 435.jpg 784.jpg 1027.jpg 1030.jpg 452.jpg 753.jpg 809.jpg 833.jpg 860.jpg 1059.jpg 758.jpg 1033.jpg 542.jpg 589.jpg 607.jpg 1208.jpg
2.txt,303.jpg 1060.jpg 915.jpg 993.jpg 755.jpg 790.jpg 980.jpg 990.jpg 228.jpg 272.jpg 332.jpg 408.jpg 662.jpg 545.jpg 97.jpg 625.jpg 1998.jpg 229.jpg 254.jpg 43.jpg
3.txt,686.jpg 1932.jpg 66.jpg 417.jpg 1220.jpg 90.jpg 799.jpg 1030.jpg 607.jpg 654.jpg 836.jpg 800.jpg 452.jpg 1033.jpg 860.jpg 1027.jpg 397.jpg 75.jpg 1112.jpg 784.jpg
4.txt,1208.jpg 1033.jpg 1437.jpg 1421.jpg 1030.jpg 1340.jpg 1648.jpg 1574.jpg 763.jpg 1027.jpg 452.jpg 860.jpg 1059.jpg 607.jpg 784.jpg 1475.jpg 97.jpg 90.jpg 84.jpg 10.jpg
5.txt,330.jpg 1335.jpg 887.jpg 1322.jpg 771.jpg 814.jpg 1118.jpg 1287.jpg 614.jpg 703.jpg 334.jpg 354.jpg 554.jpg 1045.jpg 526.jpg 492.jpg 51.jpg 699.jpg 46.jpg 274.jpg
6.txt,402.jpg 1009.jpg 718.jpg 996.jpg 712.jpg 458.jpg 786.jpg 908.jpg 489.jpg 259.jpg 414.jpg 486.jpg 535.jpg 555.jpg 655.jpg 910.jpg 156.jpg 217.jpg 33.jpg 358.jpg
7.txt,136.jpg 1694.jpg 1249.jpg 1488.jpg 1085.jpg 1239.jpg 987.jpg 1328.jpg 528.jpg 685.jpg 627.jpg 1155.jpg 689.jpg 756.jpg 1270.jpg 1285.jpg 168.jpg 448.jpg 481.jpg 409.jpg
8.txt,1814.jpg 67.jpg 590.jpg 1557.jpg 1948.jpg 419.jpg 1622.jpg 1397.jpg 719.jpg 266.jpg 1346.jpg 134.jpg 452.jpg 661.jpg 823.jpg 837.jpg 763.jpg 103.jpg 666.jpg 784.jpg
9.txt,460.jpg 1232.jpg 607.jpg 814.jpg 330.jpg 554.jpg 699.jpg 784.jpg 46.jpg 354.jpg 492.jpg 526.jpg 614.jpg 763.jpg 703.jpg 771.jpg 452.jpg 51.jpg 334.jpg 274.jpg
10.txt,1208.jpg 1033.jpg 1437.jpg 1421.jpg 1030.jpg 1340.jpg 1648.jpg 1574.jpg 763.jpg 1027.jpg 452.jpg 860.jpg 1059.jpg 607.jpg 784.jpg 1475.jpg 97.jpg 90.jpg 84.jpg 10.jpg
11.txt,330.jpg 1335.jpg 887.jpg 1322.jpg 703.jpg 814.jpg 1045.jpg 1287.jpg 554.jpg 699.jpg 771.jpg 334.jpg 354.jpg 526.jpg 492.jpg 1118.jpg 51.jpg 614.jpg 46.jpg 274.jpg
12.txt,1023.jpg 696.jpg 561.jpg 860.jpg 245.jpg 763.jpg 803.jpg 828.jpg 103.jpg 452.jpg 568.jpg 607.jpg 837.jpg 784.jpg 813.jpg 823.jpg 720.jpg 372.jpg 394.jpg 159.jpg
13.txt,486.jpg 786.jpg 535.jpg 784.jpg 414.jpg 489.jpg 655.jpg 718.jpg 259.jpg 402.jpg 452.jpg 458.jpg 555.jpg 607.jpg 763.jpg 712.jpg 156.jpg 358.jpg 33.jpg 217.jpg
14.txt,486.jpg 786.jpg 535.jpg 784.jpg 414.jpg 489.jpg 655.jpg 718.jpg 259.jpg 402.jpg 452.jpg 458.jpg 555.jpg 607.jpg 763.jpg 712.jpg 156.jpg 358.jpg 33.jpg 217.jpg
15.txt,644.jpg 668.jpg 247.jpg 968.jpg 1334.jpg 763.jpg 1033.jpg 1158.jpg 6.jpg 452.jpg 607.jpg 784.jpg 1027.jpg 1030.jpg 1059.jpg 1177.jpg 860.jpg 463.jpg 527.jpg 1208.jpg
16.txt,2.jpg 1504.jpg 1385.jpg 1433.jpg 1127.jpg 1318.jpg 972.jpg 1415.jpg 620.jpg 1098.jpg 416.jpg 1236.jpg 670.jpg 734.jpg 880.jpg 914.jpg 52.jpg 77.jpg 37.jpg 31.jpg
17.txt,1208.jpg 1033.jpg 1437.jpg 1421.jpg 1030.jpg 1340.jpg 1648.jpg 1574.jpg 763.jpg 1027.jpg 452.jpg 860.jpg 1059.jpg 607.jpg 784.jpg 1475.jpg 97.jpg 90.jpg 84.jpg 10.jpg
18.txt,677.jpg 479.jpg 1528.jpg 1450.jpg 779.jpg 1279.jpg 1953.jpg 59.jpg 807.jpg 944.jpg 320.jpg 1125.jpg 239.jpg 661.jpg 763.jpg 650.jpg 784.jpg 860.jpg 1002.jpg 764.jpg
19.txt,122.jpg 716.jpg 452.jpg 715.jpg 344.jpg 441.jpg 573.jpg 763.jpg 190.jpg 275.jpg 374.jpg 413.jpg 506.jpg 550.jpg 607.jpg 693.jpg 212.jpg 203.jpg 207.jpg 145.jpg
20.txt,568.jpg 828.jpg 1383.jpg 476.jpg 676.jpg 1330.jpg 192.jpg 1720.jpg 290.jpg 724.jpg 1057.jpg 1023.jpg 609.jpg 691.jpg 1348.jpg 696.jpg 452.jpg 113.jpg 561.jpg 103.jpg
21.txt,67.jpg 1814.jpg 1598.jpg 1921.jpg 590.jpg 295.jpg 620.jpg 670.jpg 31.jpg 52.jpg 407.jpg 416.jpg 77.jpg 607.jpg 2.jpg 666.jpg 32.jpg 264.jpg 452.jpg 734.jpg
22.txt,590.jpg 1814.jpg 67.jpg 784.jpg 264.jpg 1030.jpg 1208.jpg 1421.jpg 452.jpg 666.jpg 1059.jpg 1027.jpg 860.jpg 1340.jpg 1648.jpg 1574.jpg 1033.jpg 607.jpg 1437.jpg 763.jpg
23.txt,1854.jpg 1019.jpg 707.jpg 1294.jpg 827.jpg 1241.jpg 1805.jpg 499.jpg 129.jpg 578.jpg 706.jpg 952.jpg 385.jpg 454.jpg 795.jpg 733.jpg 501.jpg 491.jpg 780.jpg 759.jpg
