Descritpion_ID,Top_20_Image_IDs
0.txt,1862.jpg 1698.jpg 292.jpg 359.jpg 1231.jpg 1131.jpg 124.jpg 1479.jpg 942.jpg 36.jpg 1743.jpg 281.jpg 465.jpg 311.jpg 364.jpg 381.jpg 141.jpg 50.jpg 152.jpg 388.jpg
1.txt,589.jpg 833.jpg 1156.jpg 1907.jpg 1071.jpg 1341.jpg 1529.jpg 607.jpg 562.jpg 435.jpg 611.jpg 753.jpg 956.jpg 784.jpg 860.jpg 869.jpg 452.jpg 763.jpg 948.jpg 758.jpg
2.txt,445.jpg 649.jpg 1724.jpg 1866.jpg 1124.jpg 184.jpg 1840.jpg 1665.jpg 159.jpg 1027.jpg 607.jpg 720.jpg 953.jpg 860.jpg 327.jpg 1107.jpg 763.jpg 1089.jpg 452.jpg 934.jpg
3.txt,75.jpg 397.jpg 799.jpg 1922.jpg 1486.jpg 1865.jpg 800.jpg 1035.jpg 836.jpg 1513.jpg 654.jpg 390.jpg 930.jpg 90.jpg 1535.jpg 1135.jpg 1218.jpg 897.jpg 417.jpg 686.jpg
4.txt,1862.jpg 1698.jpg 292.jpg 359.jpg 1231.jpg 1131.jpg 124.jpg 1479.jpg 942.jpg 36.jpg 1743.jpg 281.jpg 465.jpg 311.jpg 364.jpg 381.jpg 141.jpg 50.jpg 152.jpg 388.jpg
5.txt,51.jpg 1335.jpg 887.jpg 1322.jpg 771.jpg 814.jpg 1118.jpg 1287.jpg 614.jpg 703.jpg 334.jpg 354.jpg 554.jpg 1045.jpg 492.jpg 526.jpg 46.jpg 699.jpg 274.jpg 330.jpg
6.txt,402.jpg 996.jpg 908.jpg 910.jpg 718.jpg 786.jpg 535.jpg 712.jpg 458.jpg 259.jpg 414.jpg 489.jpg 33.jpg 486.jpg 555.jpg 655.jpg 156.jpg 217.jpg 1020.jpg 358.jpg
7.txt,1949.jpg 528.jpg 481.jpg 1155.jpg 152.jpg 685.jpg 897.jpg 1135.jpg 141.jpg 448.jpg 689.jpg 627.jpg 975.jpg 987.jpg 1085.jpg 1535.jpg 756.jpg 168.jpg 409.jpg 136.jpg
8.txt,1618.jpg 111.jpg 1864.jpg 1674.jpg 1557.jpg 1622.jpg 1931.jpg 1962.jpg 1397.jpg 1346.jpg 266.jpg 1412.jpg 134.jpg 1833.jpg 719.jpg 1037.jpg 419.jpg 1948.jpg 813.jpg 763.jpg
9.txt,51.jpg 1335.jpg 887.jpg 1322.jpg 771.jpg 814.jpg 1118.jpg 1287.jpg 614.jpg 703.jpg 334.jpg 354.jpg 554.jpg 1045.jpg 492.jpg 526.jpg 46.jpg 699.jpg 274.jpg 330.jpg
10.txt,445.jpg 649.jpg 1724.jpg 1866.jpg 1124.jpg 184.jpg 1840.jpg 1665.jpg 159.jpg 1027.jpg 607.jpg 720.jpg 953.jpg 860.jpg 327.jpg 1107.jpg 763.jpg 1089.jpg 452.jpg 934.jpg
11.txt,51.jpg 1335.jpg 887.jpg 1322.jpg 771.jpg 814.jpg 1118.jpg 1287.jpg 614.jpg 703.jpg 334.jpg 354.jpg 554.jpg 1045.jpg 492.jpg 526.jpg 46.jpg 699.jpg 274.jpg 330.jpg
12.txt,696.jpg 1499.jpg 426.jpg 838.jpg 175.jpg 642.jpg 724.jpg 744.jpg 141.jpg 321.jpg 476.jpg 531.jpg 676.jpg 669.jpg 727.jpg 735.jpg 406.jpg 221.jpg 244.jpg 152.jpg
13.txt,402.jpg 996.jpg 908.jpg 910.jpg 718.jpg 786.jpg 535.jpg 712.jpg 458.jpg 259.jpg 414.jpg 489.jpg 33.jpg 486.jpg 555.jpg 655.jpg 156.jpg 217.jpg 1020.jpg 358.jpg
14.txt,402.jpg 996.jpg 908.jpg 910.jpg 718.jpg 786.jpg 535.jpg 712.jpg 458.jpg 259.jpg 414.jpg 489.jpg 33.jpg 486.jpg 555.jpg 655.jpg 156.jpg 217.jpg 1020.jpg 358.jpg
15.txt,644.jpg 247.jpg 668.jpg 968.jpg 1334.jpg 860.jpg 1030.jpg 1177.jpg 452.jpg 527.jpg 784.jpg 763.jpg 6.jpg 1027.jpg 1033.jpg 1059.jpg 1158.jpg 1208.jpg 607.jpg 463.jpg
16.txt,2.jpg 1504.jpg 1318.jpg 1433.jpg 1127.jpg 1236.jpg 1385.jpg 1415.jpg 670.jpg 1098.jpg 620.jpg 416.jpg 734.jpg 914.jpg 880.jpg 31.jpg 37.jpg 77.jpg 972.jpg 52.jpg
17.txt,649.jpg 1660.jpg 1124.jpg 1471.jpg 445.jpg 897.jpg 1218.jpg 1429.jpg 141.jpg 323.jpg 775.jpg 838.jpg 1135.jpg 1535.jpg 1366.jpg 1390.jpg 184.jpg 152.jpg 248.jpg 24.jpg
18.txt,650.jpg 605.jpg 432.jpg 1450.jpg 152.jpg 807.jpg 1125.jpg 1279.jpg 239.jpg 479.jpg 677.jpg 779.jpg 897.jpg 59.jpg 1135.jpg 1535.jpg 944.jpg 320.jpg 1218.jpg 141.jpg
19.txt,275.jpg 743.jpg 732.jpg 693.jpg 715.jpg 716.jpg 817.jpg 573.jpg 413.jpg 207.jpg 344.jpg 374.jpg 441.jpg 506.jpg 550.jpg 122.jpg 212.jpg 190.jpg 203.jpg 145.jpg
20.txt,1023.jpg 607.jpg 568.jpg 837.jpg 372.jpg 763.jpg 813.jpg 828.jpg 159.jpg 561.jpg 696.jpg 720.jpg 103.jpg 803.jpg 953.jpg 823.jpg 784.jpg 394.jpg 452.jpg 245.jpg
21.txt,1598.jpg 1921.jpg 2.jpg 880.jpg 31.jpg 620.jpg 734.jpg 860.jpg 287.jpg 407.jpg 452.jpg 52.jpg 77.jpg 607.jpg 763.jpg 784.jpg 416.jpg 32.jpg 37.jpg 295.jpg
22.txt,67.jpg 1814.jpg 590.jpg 784.jpg 452.jpg 1027.jpg 1340.jpg 1475.jpg 264.jpg 666.jpg 860.jpg 1059.jpg 1033.jpg 1208.jpg 1421.jpg 1437.jpg 1030.jpg 1648.jpg 607.jpg 763.jpg
23.txt,1241.jpg 707.jpg 1805.jpg 827.jpg 706.jpg 1294.jpg 1854.jpg 499.jpg 129.jpg 578.jpg 385.jpg 952.jpg 1019.jpg 363.jpg 501.jpg 491.jpg 467.jpg 795.jpg 759.jpg 733.jpg
