Descritpion_ID,Top_20_Image_IDs
0.txt,124.jpg 1862.jpg 1698.jpg 1479.jpg 359.jpg 1131.jpg 292.jpg 1499.jpg 36.jpg 942.jpg 696.jpg 1231.jpg 98.jpg 769.jpg 1743.jpg 141.jpg 249.jpg 152.jpg 175.jpg 250.jpg
1.txt,1907.jpg 758.jpg 589.jpg 833.jpg 457.jpg 1529.jpg 1341.jpg 1071.jpg 314.jpg 1156.jpg 452.jpg 601.jpg 607.jpg 562.jpg 542.jpg 763.jpg 809.jpg 435.jpg 171.jpg 753.jpg
2.txt,445.jpg 649.jpg 1724.jpg 1866.jpg 1124.jpg 1665.jpg 1840.jpg 184.jpg 159.jpg 1027.jpg 607.jpg 720.jpg 860.jpg 934.jpg 327.jpg 1107.jpg 763.jpg 1089.jpg 452.jpg 953.jpg
3.txt,397.jpg 654.jpg 1513.jpg 1922.jpg 1865.jpg 836.jpg 800.jpg 799.jpg 1035.jpg 75.jpg 1486.jpg 686.jpg 152.jpg 90.jpg 66.jpg 469.jpg 1514.jpg 930.jpg 417.jpg 897.jpg
4.txt,1479.jpg 255.jpg 1862.jpg 1698.jpg 1691.jpg 124.jpg 292.jpg 1743.jpg 772.jpg 1131.jpg 359.jpg 942.jpg 1776.jpg 1231.jpg 496.jpg 656.jpg 36.jpg 152.jpg 302.jpg 281.jpg
5.txt,51.jpg 1335.jpg 887.jpg 1322.jpg 814.jpg 354.jpg 1118.jpg 1287.jpg 703.jpg 771.jpg 330.jpg 334.jpg 554.jpg 1045.jpg 526.jpg 492.jpg 614.jpg 46.jpg 274.jpg 699.jpg
6.txt,402.jpg 1009.jpg 786.jpg 996.jpg 712.jpg 718.jpg 555.jpg 910.jpg 489.jpg 259.jpg 414.jpg 458.jpg 486.jpg 535.jpg 655.jpg 908.jpg 358.jpg 156.jpg 217.jpg 33.jpg
7.txt,1949.jpg 528.jpg 481.jpg 1239.jpg 152.jpg 689.jpg 987.jpg 1155.jpg 136.jpg 409.jpg 627.jpg 685.jpg 897.jpg 975.jpg 1085.jpg 1135.jpg 756.jpg 168.jpg 448.jpg 141.jpg
8.txt,1918.jpg 1261.jpg 1817.jpg 1847.jpg 419.jpg 719.jpg 390.jpg 1222.jpg 134.jpg 266.jpg 451.jpg 531.jpg 897.jpg 913.jpg 1037.jpg 1135.jpg 141.jpg 339.jpg 69.jpg 1218.jpg
9.txt,51.jpg 1335.jpg 887.jpg 1322.jpg 814.jpg 354.jpg 1118.jpg 1287.jpg 703.jpg 771.jpg 330.jpg 334.jpg 554.jpg 1045.jpg 526.jpg 492.jpg 614.jpg 46.jpg 274.jpg 699.jpg
10.txt,1124.jpg 1948.jpg 1455.jpg 1866.jpg 719.jpg 1346.jpg 1622.jpg 1840.jpg 419.jpg 649.jpg 1242.jpg 1397.jpg 445.jpg 1557.jpg 1665.jpg 1724.jpg 266.jpg 3.jpg 134.jpg 184.jpg
11.txt,51.jpg 1335.jpg 887.jpg 1322.jpg 814.jpg 354.jpg 1118.jpg 1287.jpg 703.jpg 771.jpg 330.jpg 334.jpg 554.jpg 1045.jpg 526.jpg 492.jpg 614.jpg 46.jpg 274.jpg 699.jpg
12.txt,696.jpg 1499.jpg 426.jpg 838.jpg 152.jpg 531.jpg 724.jpg 744.jpg 175.jpg 321.jpg 476.jpg 642.jpg 676.jpg 669.jpg 727.jpg 735.jpg 406.jpg 221.jpg 244.jpg 141.jpg
13.txt,402.jpg 1009.jpg 786.jpg 996.jpg 712.jpg 718.jpg 555.jpg 910.jpg 489.jpg 259.jpg 414.jpg 458.jpg 486.jpg 535.jpg 655.jpg 908.jpg 358.jpg 156.jpg 217.jpg 33.jpg
14.txt,402.jpg 1009.jpg 786.jpg 996.jpg 712.jpg 718.jpg 555.jpg 910.jpg 489.jpg 259.jpg 414.jpg 458.jpg 486.jpg 535.jpg 655.jpg 908.jpg 358.jpg 156.jpg 217.jpg 33.jpg
15.txt,644.jpg 247.jpg 668.jpg 968.jpg 763.jpg 860.jpg 1030.jpg 1177.jpg 1334.jpg 527.jpg 784.jpg 6.jpg 1059.jpg 1027.jpg 1033.jpg 1158.jpg 463.jpg 452.jpg 607.jpg 1208.jpg
16.txt,2.jpg 1504.jpg 1318.jpg 1433.jpg 1127.jpg 1236.jpg 914.jpg 1415.jpg 620.jpg 1098.jpg 52.jpg 416.jpg 670.jpg 734.jpg 1385.jpg 880.jpg 31.jpg 37.jpg 972.jpg 77.jpg
17.txt,649.jpg 1660.jpg 1135.jpg 1535.jpg 775.jpg 897.jpg 1366.jpg 1429.jpg 152.jpg 445.jpg 838.jpg 24.jpg 1124.jpg 1218.jpg 1390.jpg 1471.jpg 184.jpg 248.jpg 323.jpg 141.jpg
18.txt,605.jpg 650.jpg 432.jpg 1450.jpg 479.jpg 779.jpg 1125.jpg 1218.jpg 141.jpg 152.jpg 807.jpg 677.jpg 897.jpg 944.jpg 1135.jpg 1279.jpg 59.jpg 1429.jpg 320.jpg 239.jpg
19.txt,212.jpg 750.jpg 732.jpg 743.jpg 715.jpg 716.jpg 693.jpg 573.jpg 374.jpg 203.jpg 344.jpg 275.jpg 441.jpg 413.jpg 506.jpg 550.jpg 207.jpg 122.jpg 190.jpg 145.jpg
20.txt,696.jpg 1499.jpg 426.jpg 838.jpg 152.jpg 531.jpg 724.jpg 744.jpg 175.jpg 321.jpg 476.jpg 642.jpg 676.jpg 669.jpg 727.jpg 735.jpg 406.jpg 221.jpg 244.jpg 141.jpg
21.txt,1921.jpg 1598.jpg 590.jpg 1814.jpg 67.jpg 407.jpg 620.jpg 670.jpg 2.jpg 264.jpg 416.jpg 77.jpg 31.jpg 607.jpg 37.jpg 666.jpg 287.jpg 32.jpg 452.jpg 734.jpg
22.txt,67.jpg 1814.jpg 590.jpg 784.jpg 452.jpg 1027.jpg 1340.jpg 1475.jpg 264.jpg 666.jpg 860.jpg 1059.jpg 1033.jpg 1208.jpg 1421.jpg 1437.jpg 1030.jpg 1648.jpg 607.jpg 763.jpg
23.txt,1294.jpg 1805.jpg 499.jpg 707.jpg 385.jpg 578.jpg 952.jpg 1019.jpg 827.jpg 129.jpg 1241.jpg 1854.jpg 706.jpg 795.jpg 363.jpg 1899.jpg 467.jpg 759.jpg 1845.jpg 1356.jpg
24.txt,1722.jpg 522.jpg 1074.jpg 1974.jpg 1520.jpg 1725.jpg 1217.jpg 1406.jpg 1633.jpg 684.jpg 1036.jpg 1115.jpg 512.jpg 101.jpg 1400.jpg 906.jpg 74.jpg 1042.jpg 721.jpg 593.jpg
25.txt,267.jpg 1889.jpg 1373.jpg 1802.jpg 1207.jpg 1215.jpg 1492.jpg 1727.jpg 989.jpg 1145.jpg 471.jpg 514.jpg 1404.jpg 26.jpg 825.jpg 1517.jpg 78.jpg 172.jpg 1132.jpg 94.jpg
26.txt,314.jpg 482.jpg 668.jpg 644.jpg 738.jpg 139.jpg 247.jpg 968.jpg 607.jpg 452.jpg 527.jpg 6.jpg 463.jpg 784.jpg 171.jpg 80.jpg 589.jpg 763.jpg 121.jpg 611.jpg
27.txt,214.jpg 1676.jpg 1012.jpg 1416.jpg 777.jpg 853.jpg 1082.jpg 1364.jpg 87.jpg 708.jpg 273.jpg 269.jpg 373.jpg 440.jpg 518.jpg 1297.jpg 64.jpg 194.jpg 151.jpg 128.jpg
28.txt,1147.jpg 191.jpg 1192.jpg 139.jpg 674.jpg 1959.jpg 1381.jpg 1806.jpg 1628.jpg 149.jpg 80.jpg 198.jpg 368.jpg 1601.jpg 1645.jpg 1803.jpg 967.jpg 529.jpg 571.jpg 482.jpg
29.txt,656.jpg 45.jpg 541.jpg 1051.jpg 255.jpg 523.jpg 647.jpg 897.jpg 152.jpg 223.jpg 339.jpg 370.jpg 557.jpg 604.jpg 1135.jpg 785.jpg 73.jpg 19.jpg 20.jpg 141.jpg
30.txt,1018.jpg 1047.jpg 1513.jpg 1420.jpg 226.jpg 502.jpg 800.jpg 1035.jpg 93.jpg 202.jpg 654.jpg 246.jpg 836.jpg 872.jpg 799.jpg 1486.jpg 599.jpg 75.jpg 397.jpg 643.jpg
31.txt,1908.jpg 1091.jpg 1590.jpg 851.jpg 1485.jpg 1619.jpg 1861.jpg 875.jpg 1295.jpg 1372.jpg 801.jpg 613.jpg 1501.jpg 1784.jpg 65.jpg 1697.jpg 1306.jpg 874.jpg 860.jpg 831.jpg
32.txt,1706.jpg 420.jpg 1179.jpg 521.jpg 848.jpg 864.jpg 328.jpg 1690.jpg 47.jpg 186.jpg 982.jpg 24.jpg 152.jpg 683.jpg 343.jpg 866.jpg 669.jpg 221.jpg 17.jpg 897.jpg
33.txt,326.jpg 1138.jpg 701.jpg 1988.jpg 763.jpg 1059.jpg 1030.jpg 1340.jpg 1027.jpg 666.jpg 860.jpg 784.jpg 392.jpg 1033.jpg 48.jpg 1208.jpg 1421.jpg 452.jpg 607.jpg 317.jpg
34.txt,1946.jpg 1209.jpg 403.jpg 1467.jpg 1993.jpg 1048.jpg 1283.jpg 1884.jpg 679.jpg 581.jpg 1186.jpg 284.jpg 472.jpg 775.jpg 897.jpg 664.jpg 551.jpg 152.jpg 195.jpg 558.jpg
35.txt,419.jpg 719.jpg 1622.jpg 1346.jpg 1557.jpg 1948.jpg 266.jpg 1397.jpg 134.jpg 113.jpg 103.jpg 661.jpg 784.jpg 823.jpg 857.jpg 860.jpg 837.jpg 1027.jpg 607.jpg 923.jpg
36.txt,359.jpg 36.jpg 292.jpg 1743.jpg 1131.jpg 1231.jpg 942.jpg 95.jpg 949.jpg 255.jpg 311.jpg 141.jpg 50.jpg 484.jpg 250.jpg 897.jpg 381.jpg 152.jpg 760.jpg 594.jpg
37.txt,226.jpg 246.jpg 1420.jpg 1047.jpg 1250.jpg 502.jpg 643.jpg 599.jpg 1018.jpg 202.jpg 93.jpg 141.jpg 594.jpg 678.jpg 647.jpg 50.jpg 723.jpg 244.jpg 353.jpg 235.jpg
38.txt,1208.jpg 1033.jpg 1437.jpg 1421.jpg 1030.jpg 1340.jpg 1648.jpg 1574.jpg 763.jpg 1027.jpg 452.jpg 860.jpg 1059.jpg 607.jpg 784.jpg 1475.jpg 111.jpg 109.jpg 10.jpg 15.jpg
39.txt,1951.jpg 470.jpg 988.jpg 658.jpg 746.jpg 963.jpg 1578.jpg 713.jpg 4.jpg 301.jpg 896.jpg 607.jpg 298.jpg 763.jpg 796.jpg 860.jpg 452.jpg 890.jpg 340.jpg 784.jpg
40.txt,922.jpg 1566.jpg 1240.jpg 1782.jpg 1924.jpg 1181.jpg 1273.jpg 1446.jpg 79.jpg 485.jpg 519.jpg 615.jpg 152.jpg 849.jpg 1103.jpg 1135.jpg 1011.jpg 44.jpg 1087.jpg 1161.jpg
41.txt,399.jpg 1211.jpg 901.jpg 1164.jpg 783.jpg 867.jpg 938.jpg 1008.jpg 398.jpg 748.jpg 443.jpg 509.jpg 603.jpg 697.jpg 680.jpg 962.jpg 306.jpg 319.jpg 349.jpg 180.jpg
42.txt,1350.jpg 1224.jpg 1610.jpg 964.jpg 28.jpg 1213.jpg 1307.jpg 1434.jpg 138.jpg 593.jpg 906.jpg 1206.jpg 565.jpg 921.jpg 1400.jpg 536.jpg 210.jpg 70.jpg 498.jpg 1436.jpg
43.txt,1502.jpg 152.jpg 1319.jpg 1429.jpg 1157.jpg 1218.jpg 1491.jpg 1535.jpg 792.jpg 954.jpg 1135.jpg 141.jpg 1329.jpg 143.jpg 1560.jpg 146.jpg 335.jpg 798.jpg 897.jpg 624.jpg
44.txt,1707.jpg 411.jpg 1820.jpg 1596.jpg 347.jpg 1894.jpg 741.jpg 788.jpg 215.jpg 631.jpg 1194.jpg 280.jpg 144.jpg 763.jpg 182.jpg 784.jpg 830.jpg 436.jpg 149.jpg 452.jpg
45.txt,1255.jpg 500.jpg 1431.jpg 585.jpg 170.jpg 1729.jpg 640.jpg 176.jpg 1326.jpg 433.jpg 860.jpg 317.jpg 164.jpg 607.jpg 611.jpg 14.jpg 763.jpg 452.jpg 400.jpg 264.jpg
46.txt,51.jpg 1335.jpg 887.jpg 1322.jpg 814.jpg 354.jpg 1118.jpg 1287.jpg 703.jpg 771.jpg 330.jpg 334.jpg 554.jpg 1045.jpg 526.jpg 492.jpg 614.jpg 46.jpg 274.jpg 699.jpg
47.txt,223.jpg 1902.jpg 1176.jpg 1461.jpg 785.jpg 1149.jpg 19.jpg 1051.jpg 298.jpg 860.jpg 337.jpg 338.jpg 607.jpg 710.jpg 173.jpg 784.jpg 340.jpg 763.jpg 234.jpg 656.jpg
48.txt,1471.jpg 838.jpg 1366.jpg 883.jpg 159.jpg 1183.jpg 1499.jpg 1713.jpg 511.jpg 781.jpg 953.jpg 1107.jpg 1955.jpg 322.jpg 1533.jpg 1611.jpg 539.jpg 696.jpg 720.jpg 1927.jpg
49.txt,761.jpg 892.jpg 690.jpg 646.jpg 63.jpg 559.jpg 349.jpg 680.jpg 319.jpg 306.jpg 398.jpg 399.jpg 141.jpg 642.jpg 603.jpg 180.jpg 443.jpg 152.jpg 382.jpg 509.jpg
50.txt,494.jpg 1534.jpg 1210.jpg 1469.jpg 1123.jpg 1190.jpg 1362.jpg 1448.jpg 213.jpg 1290.jpg 560.jpg 577.jpg 932.jpg 10.jpg 886.jpg 1363.jpg 54.jpg 384.jpg 1056.jpg 183.jpg
51.txt,1139.jpg 623.jpg 897.jpg 1162.jpg 583.jpg 728.jpg 978.jpg 1096.jpg 155.jpg 351.jpg 630.jpg 667.jpg 45.jpg 973.jpg 1218.jpg 1135.jpg 141.jpg 177.jpg 353.jpg 152.jpg
52.txt,745.jpg 346.jpg 1926.jpg 287.jpg 620.jpg 729.jpg 2.jpg 880.jpg 31.jpg 653.jpg 295.jpg 32.jpg 734.jpg 670.jpg 416.jpg 407.jpg 914.jpg 37.jpg 77.jpg 52.jpg
53.txt,1187.jpg 805.jpg 257.jpg 778.jpg 437.jpg 1998.jpg 332.jpg 662.jpg 97.jpg 141.jpg 43.jpg 272.jpg 228.jpg 408.jpg 545.jpg 625.jpg 755.jpg 302.jpg 152.jpg 254.jpg
